"Timestamp","Age","Gender","What kind of Locality do you live in?","Education level - Either Studying or Completed","Family Income per year(in Rupees)","How likely are you to use home remedies for the following health issue/ symptom :  [Sore throat / Cough]","How likely are you to use home remedies for the following health issue/ symptom :  [Running Nose]","How likely are you to use home remedies for the following health issue/ symptom :  [Diarrhoea]","How likely are you to use home remedies for the following health issue/ symptom :  [Back/Joint pain]","How likely are you to use home remedies for the following health issue/ symptom :  [Constipation]","How likely are you to use home remedies for the following health issue/ symptom :  [Headache]","How likely are you to use home remedies for the following health issue/ symptom :  [Wounds / minor cuts and bruises]","How likely are you to use home remedies for the following health issue/ symptom :  [Sleeping problems / nervousness]","Have you ever used any of the following home remedies?","Do you prefer using Home remedies?"
"2020/10/19 10:00:33 PM GMT+5:30","20","Female","Urban","Graduate","1 lakh to 25 lakh","Most of the time","Most of the time","Once in a while","Most of the time","Most of the time","Once in a while","Once in a while","Once in a while","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Using Hot water steam;Gargling for Sore throat;Aloe Vera / Onion Juice / Egg for Hair;Fennel seeds for Constipation","Yes"
"2020/10/19 10:00:42 PM GMT+5:30","20","Female","Urban","Graduate","Prefer not to say","Once in a while","Once in a while","Never","Never","Never","Once in a while","Once in a while","Once in a while","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat","Yes"
"2020/10/19 10:00:57 PM GMT+5:30","20","Female","Urban","Graduate","Prefer not to say","Most of the time","Always","Most of the time","Most of the time","Never","Most of the time","Most of the time","Most of the time","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Aloe Vera / Onion Juice / Egg for Hair","Yes"
"2020/10/19 10:01:32 PM GMT+5:30","20","Female","Urban","Graduate","1 lakh to 25 lakh","Most of the time","Most of the time","Once in a while","Most of the time","Once in a while","Never","Most of the time","Never","Apply Turmeric/ Haldi on wounds and acne / pimple;Using Hot water steam;Gargling for Sore throat;Other Home Remedies","Yes"
"2020/10/19 10:01:34 PM GMT+5:30","19","Male","Urban","High School","1 lakh to 25 lakh","Once in a while","Once in a while","Never","Never","Never","Once in a while","Once in a while","Once in a while","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Using Hot water steam;Gargling for Sore throat","No"
"2020/10/19 10:02:25 PM GMT+5:30","21","Female","Urban","Graduate","Prefer not to say","Once in a while","Once in a while","Most of the time","Never","Most of the time","Always","Always","Always","Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Other Home Remedies","Yes"
"2020/10/19 10:03:02 PM GMT+5:30","20","Female","Urban","Graduate","Prefer not to say","Most of the time","Most of the time","Once in a while","Never","Once in a while","Once in a while","Once in a while","Once in a while","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Aloe Vera / Onion Juice / Egg for Hair","Yes"
"2020/10/19 10:03:09 PM GMT+5:30","20","Male","Urban","Graduate","1 lakh to 25 lakh","Most of the time","Most of the time","Most of the time","Once in a while","Always","Most of the time","Once in a while","Never","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Aloe Vera / Onion Juice / Egg for Hair;Other Home Remedies","Yes"
"2020/10/19 10:03:10 PM GMT+5:30","20","Female","Urban","Graduate","Prefer not to say","Most of the time","Most of the time","Never","Never","Never","Most of the time","Most of the time","Never","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Aloe Vera / Onion Juice / Egg for Hair","No"
"2020/10/19 10:03:23 PM GMT+5:30","19","Male","Urban","Graduate","1 lakh to 25 lakh","Once in a while","Once in a while","Once in a while","Most of the time","Once in a while","Once in a while","Once in a while","Once in a while","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Aloe Vera / Onion Juice / Egg for Hair;Fennel seeds for Constipation;Other Home Remedies","Yes"
